#group,false,false,false,false
#datatype,double,string,string,dateTime:RFC3339
#default,,,,
,price,price_str,symbol,time
,107962.6,107962.60000000,BTCUSDT,2025-06-26T07:34:46.492Z
,107962.6,107962.60000000,BTCUSDT,2025-06-26T07:34:46.493Z
,107962.6,107962.60000000,BTCUSDT,2025-06-26T07:34:46.494Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:47.255Z
,107962.6,107962.60000000,BTCUSDT,2025-06-26T07:34:47.725Z
,107962.6,107962.60000000,BTCUSDT,2025-06-26T07:34:48.015Z
,107962.6,107962.60000000,BTCUSDT,2025-06-26T07:34:48.371Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:48.463Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:48.809Z
,107962.6,107962.60000000,BTCUSDT,2025-06-26T07:34:49.268Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:49.579Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:49.695Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:50.567Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:50.979Z
,107962.6,107962.60000000,BTCUSDT,2025-06-26T07:34:51.436Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:52.336Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:52.547Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:53.659Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:54.269Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:54.636Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:54.688Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:55.437Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:55.455Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:55.464Z
,107962.6,107962.60000000,BTCUSDT,2025-06-26T07:34:56.079Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:56.305Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:56.437Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:56.573Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:56.597Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:56.758Z
,107962.6,107962.60000000,BTCUSDT,2025-06-26T07:34:56.916Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:57.771Z
,107962.6,107962.60000000,BTCUSDT,2025-06-26T07:34:58.094Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:58.889Z
,107962.6,107962.60000000,BTCUSDT,2025-06-26T07:34:58.953Z
,107962.6,107962.60000000,BTCUSDT,2025-06-26T07:34:58.955Z
,107962.6,107962.60000000,BTCUSDT,2025-06-26T07:34:58.956Z
,107962.6,107962.60000000,BTCUSDT,2025-06-26T07:34:58.997Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:59.222Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:59.768Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:35:00.056Z
,107962.6,107962.60000000,BTCUSDT,2025-06-26T07:35:00.121Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:35:00.188Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:35:00.564Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:35:00.727Z
,107962.6,107962.60000000,BTCUSDT,2025-06-26T07:35:00.849Z
,107962.6,107962.60000000,BTCUSDT,2025-06-26T07:35:00.851Z
,107962.6,107962.60000000,BTCUSDT,2025-06-26T07:35:01.574Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:35:02.003Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:35:02.078Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:35:03.167Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:35:03.621Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:35:03.795Z
,107962.6,107962.60000000,BTCUSDT,2025-06-26T07:35:04.716Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:35:04.793Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:35:05.086Z
,107962.6,107962.60000000,BTCUSDT,2025-06-26T07:35:06.445Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:35:07.323Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:35:07.395Z
,107962.6,107962.60000000,BTCUSDT,2025-06-26T07:35:07.521Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:35:07.541Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:35:07.568Z
,107962.6,107962.60000000,BTCUSDT,2025-06-26T07:35:07.576Z
,107962.6,107962.60000000,BTCUSDT,2025-06-26T07:35:08.487Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:35:08.542Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:35:09.111Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:35:09.166Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:35:09.198Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:35:09.2Z
,107956.75,107956.75000000,BTCUSDT,2025-06-26T07:40:12.105Z
,107956.75,107956.75000000,BTCUSDT,2025-06-26T07:40:13.126Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:13.449Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:14.295Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:15.11Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:15.182Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:15.2Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:15.201Z
,107956.75,107956.75000000,BTCUSDT,2025-06-26T07:40:15.225Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:15.236Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:16.257Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:16.656Z
,107956.75,107956.75000000,BTCUSDT,2025-06-26T07:40:17.799Z
,107956.75,107956.75000000,BTCUSDT,2025-06-26T07:40:18.401Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:18.889Z
,107956.75,107956.75000000,BTCUSDT,2025-06-26T07:40:19.041Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:20.109Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:20.303Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:20.443Z
,107956.75,107956.75000000,BTCUSDT,2025-06-26T07:40:20.629Z
,107956.75,107956.75000000,BTCUSDT,2025-06-26T07:40:20.793Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:21.325Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:21.329Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:21.331Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:21.332Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:21.333Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:21.334Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:21.335Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:21.337Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:21.339Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:21.34Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:21.341Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:21.342Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:21.343Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:21.344Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:21.345Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:21.361Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:21.375Z
,107956.74,107956.74000000,BTCUSDT,2025-06-26T07:40:21.381Z
,107947.2,107947.20000000,BTCUSDT,2025-06-26T07:40:21.382Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:21.406Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:21.408Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:21.409Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:21.483Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:21.485Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:21.488Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:21.489Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:21.491Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:21.494Z
